Designator,Mid X,Mid Y,Rotation,Layer
C10,2.255545,-11.43,90.0,top
C11,11.445986,3.851154,0.0,top
C12,0.433179,-13.05398,180.0,top
C13,-2.520367,-11.998923,180.0,top
C14,20.043211,-12.065,180.0,top
C15,-7.948085,-10.073493,0.0,top
C16,21.717,-0.508,180.0,top
C18,25.3492,-6.0452,0.0,top
C19,27.1272,-0.762,0.0,top
C2,3.725231,-5.006634,180.0,top
C3,1.778,-3.8862,0.0,top
C4,-1.5748,-3.648456,90.0,top
C5,4.064,-7.963558,0.0,top
C6,-2.82758,-2.282059,90.0,top
C7,6.525095,-7.298324,0.0,top
C8,-11.43,3.81,180.0,top
C9,-3.4798,-6.9088,0.0,top
CA1,-17.018,-3.2004,0.0,top
CA2,-17.018,-4.456072,0.0,top
CA3,-18.951207,-4.456282,0.0,top
CB1,3.556,-6.477,90.0,top
CB2,-0.127,-3.8862,180.0,top
CD1,30.607,-15.6972,180.0,top
CD2,27.813,-15.7226,90.0,top
CD3,22.7076,-13.2588,90.0,top
CD4,23.9776,-12.065,90.0,top
CD5,26.221548,-12.542355,180.0,top
CD6,21.336,-9.652,90.0,top
CD7,22.59287,-9.271,90.0,top
CD8,14.71137,-9.398,90.0,top
CD9,16.188724,-8.654053,90.0,top
CE2,-28.0416,-12.644949,270.0,top
CI1,16.764,9.9568,0.0,top
CI10,22.8346,15.5448,180.0,top
CI3,17.409,8.305689,0.0,top
CI4,17.409,6.019689,0.0,top
CI5,17.409,3.733689,0.0,top
CI7,14.4626,9.51,90.0,top
CI8,17.409,1.447772,0.0,top
CO1,-18.2118,9.9568,180.0,top
CO10,-21.5138,-7.1882,180.0,top
CO11,-18.7352,1.446658,180.0,top
CO12,-25.39,5.2832,0.0,top
CO13,-25.39,7.5692,0.0,top
CO14,-25.39,9.8552,0.0,top
CO15,-25.39,12.1412,0.0,top
CO16,-25.39,14.4526,0.0,top
CO17,-25.39,2.98926,0.0,top
CO3,-18.7352,8.305502,180.0,top
CO4,-18.7352,6.019502,180.0,top
CO5,-18.7352,3.72477,180.0,top
CO6,-14.9506,9.51,90.0,top
CO7,-15.9412,9.51,90.0,top
CS1,3.268359,-9.454949,90.0,top
CS2,-3.048,-4.826,270.0,top
D1,16.002,-6.477,0.0,top
D2,21.717,-2.623999,270.0,top
D3,24.0616,7.6708,0.0,top
D4,-16.373317,-14.255873,270.0,top
D5,24.3332,-0.0508,0.0,top
D7,29.558236,-13.4112,0.0,top
F2,0.127,-7.239,0.0,top
J1,33.528,-6.985,90.0,top
J2,32.743,5.9065,90.0,top
J3,-32.909,0.0,90.0,top
J4,-11.684,-8.255,0.0,top
J5,11.938,-8.255,0.0,top
J6,17.247388,-3.06404,180.0,top
L1,-0.244,10.16,180.0,top
LD2,19.741779,-6.639559,180.0,top
LD3,25.9842,-10.7696,180.0,top
Q1,10.6272,13.08,0.0,top
Q2,10.6272,7.239,180.0,top
Q3,-11.1152,13.08,180.0,top
Q4,-11.1152,7.239,0.0,top
Q5,-20.6756,-13.491998,270.0,top
Q6,24.4348,-2.794,0.0,top
Q7,23.7082,3.795,0.0,top
Q8,23.7182,11.5166,0.0,top
R10,-2.836169,-10.981973,0.0,top
R11,4.254259,-11.407,270.0,top
R12,13.350986,3.851154,0.0,top
R13,-13.335,3.81,180.0,top
R14,3.26115,-11.404009,90.0,top
R15,28.955262,-9.551392,180.0,top
