Designator,Footprint,Quantity,Value,LCSC Part #
AE1,2.4G-WiFi-Antenna_D2,1,Antenna_PCB,
"C1, C13, C16, C18, C19, C2, C20, C22, C23, C6, C8, C9",0402,12,"0.1uF,0402,50V",
C10,0402,1,"10uF,0402,50V",
C11,0402,1,"10uF,0402,6.3V",
"C12, C14, L1",0402,3,TDB,
"C15, C21",0603,2,"22uF,0603,10V",
C17,0402,1,"1uF,0402,16V",
"C24, C25, C26, C27, C3, C7",0402,6,"0.01uF,0402,50V",
"C4, C5",0402,2,"22pF,0402,50V",
D1,0402,1,LED_ALT,
FB1,0402,1,"100ohm@100MHz,0402",
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad_Via,4,MountingHole_Pad,
"J1, J2",PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Left,2,Conn_01x07,
J3,TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,1,Conn_01x08_Shielded,
J5,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08_Shielded,
L2,0402,1,"24nH,0402",
Q1,SOT-23,1,SI2302,
Q2,SOT-23,1,SI2301,
"R1, R11, R12, R13, R14, R15, R2, R24, R25, R26, R27, R28, R3, R37, R38, R39, R4, R40, R43, R44, R46, R47, R48, R49, R5, R50, R6",0402,27,"22ohm,0402,5%",
"R10, R16, R21, R22, R23, R30, R31, R33, R8",0402,9,"10kohm,0402,5%",
"R17, R18, R20, R29, R32, R34, R35, R36, R51",0402,9,"100ohm,0402,5%",
"R19, R41, R42, R45, R9",0402,5,"1kohm,0402,5%",
R7,0402,1,"47kohm,0402,5%",
"SW1, SW2, SW3",TSW 3x4_Smiley_Face_Switch,3,SW_Push,
SW5,SW-SMD_SIQ-02FVS3,1,SIQ-02FVS3,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3,
U3,TSSOP-16_4.4x5mm_P0.65mm,1,74HC165,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"40MHz,3225",
