Designator,Mid X,Mid Y,Rotation,Layer
AE1,-31.930924,5.72971,270.0,top
C1,-27.1018,7.4676,270.0,top
C10,-28.067,3.4036,90.0,top
C11,-29.083,3.4036,90.0,top
C12,-28.1078,5.6642,270.0,top
C13,-29.6164,1.9812,180.0,top
C14,-31.0542,5.6642,270.0,top
C15,-30.317617,-0.025672,90.0,top
C16,-17.526,-0.762,90.0,top
C17,-18.542,-0.762,90.0,top
C18,16.503,-6.223,90.0,top
C19,17.519,-6.223,90.0,top
C2,-24.384,-2.794,90.0,top
C20,14.3764,2.240431,270.0,top
C21,-16.002,-1.2192,270.0,top
C22,-4.572,-7.2136,0.0,top
C23,-28.044778,1.483299,270.0,top
C24,-16.754,-3.698,90.0,top
C25,0.137,-12.334,270.0,top
C26,6.741,-11.064,0.0,top
C27,4.8082,-11.064,0.0,top
C3,-25.39,-2.809,270.0,top
C4,-25.5524,8.9408,0.0,top
C5,-24.0792,7.467514,270.0,top
C6,-21.3614,7.4422,270.0,top
C7,-23.358,-2.809,270.0,top
C8,-26.1112,7.4676,270.0,top
C9,-15.748,1.27,90.0,top
D1,-30.50591,-3.657047,90.0,top
FB1,-30.099,3.4036,270.0,top
J1,11.684,-8.255,0.0,top
J2,-11.938,-8.255,0.0,top
J3,18.034,0.0,90.0,top
J5,5.8928,14.8336,180.0,top
L1,-29.581,5.1792,180.0,top
L2,-25.0952,7.47,270.0,top
Q1,-2.210681,-11.938,270.0,top
Q2,19.805,-6.985,270.0,top
R1,-4.557808,-9.223532,0.0,top
R10,-29.0576,0.4064,270.0,top
R11,-4.572,-3.2512,180.0,top
R12,-6.096,-8.024,270.0,top
R13,-6.985,-11.3284,180.0,top
R14,-16.637,-7.3152,270.0,top
R15,-15.621,-7.3152,270.0,top
R16,17.063497,-8.763,0.0,top
R17,17.063497,-7.680163,0.0,top
R18,6.754,-13.335,0.0,top
R19,4.722,-13.335,180.0,top
R2,-4.572,-8.2042,0.0,top
R20,16.637,-13.335,180.0,top
R21,18.669,-13.335,0.0,top
R22,-17.77,-2.710611,90.0,top
R23,-4.562,-2.174,180.0,top
R24,12.827,2.286,0.0,top
R25,10.795,2.921,0.0,top
R26,12.827,3.556,0.0,top
R27,10.795,4.191,0.0,top
R28,12.827,4.826,0.0,top
R29,-4.953,-13.335,0.0,top
R3,24.638,0.8128,0.0,top
R30,-6.985,-13.335,180.0,top
R31,24.638,1.8288,180.0,top
R32,15.614815,-8.302372,270.0,top
R33,-4.562,-1.158,0.0,top
R34,-22.352,-2.794,270.0,top
R35,-20.4216,-2.3368,180.0,top
R36,-26.416,-2.794,90.0,top
R37,9.4488,10.6172,90.0,top
R38,8.382,10.6172,90.0,top
R39,7.366,10.6172,90.0,top
R4,24.638,-1.2192,0.0,top
R40,6.35,10.6172,90.0,top
R41,-19.1262,13.081,225.0,top
R42,-20.4978,11.7348,45.0,top
R43,3.4544,10.6172,90.0,top
R44,2.3876,10.6172,90.0,top
R45,-29.972,-2.200668,0.0,top
R46,5.08,-6.858,0.0,top
R47,5.08,-5.842,0.0,top
R48,-4.572,-4.2418,0.0,top
R49,-4.572,-5.2324,0.0,top
R5,24.638,-0.2032,0.0,top
R50,-4.572,-6.223,0.0,top
R51,-15.735573,-3.704488,270.0,top
R6,24.638,-2.2352,0.0,top
R7,-4.953,-12.319,0.0,top
R8,-6.985,-12.319,0.0,top
R9,-21.2598,12.4714,225.0,top
SW1,-5.969,-16.002,0.0,top
SW2,5.715,-16.002,0.0,top
SW3,17.653,-16.002,0.0,top
SW5,-23.495,-7.849,180.0,top
U1,-10.540055,4.572,90.0,top
U2,-23.1902,2.3466,90.0,top
U3,0.254,-5.334,90.0,top
Y1,-24.4856,11.176,0.0,top
